Lat Lon emi_CO[kg/m2/s]
45.15 11.85 2.033177792792884e-10
45.15 11.95 2.589056191659722e-10
45.25 8.55 1.9303103560019963e-10
45.25 8.65 2.334913651313997e-10
45.25 8.75 5.170190942038744e-10
45.25 8.85 3.4222807920869514e-10
45.25 8.95 1.9468414380607868e-10
45.25 9.05 5.192364316286557e-10
45.25 9.15 7.33406502195777e-10
45.25 9.25 4.974899381338105e-10
45.25 9.35 5.882245801558383e-10
45.25 9.45 6.350096559692986e-10
45.25 9.55 5.247626222448787e-10
45.25 9.65 3.5884853422096796e-10
45.25 9.75 2.928129405610491e-10
45.25 9.85 2.915484798027279e-10
45.25 9.95 2.970619306097433e-10
45.25 10.05 2.701329160359478e-10
45.25 10.15 3.846151175324053e-10
45.25 10.25 4.2930714538869097e-10
45.25 10.35 3.2940708494244575e-10
45.25 10.45 3.6289066196459885e-10
45.25 10.55 3.2349947720611283e-10
45.25 10.65 3.9188258194045034e-10
45.25 10.75 4.52967302555507e-10
45.25 10.85 3.19745174781616e-10
45.25 10.95 2.6903385075272013e-10
45.25 11.05 2.603027238201605e-10
45.25 11.15 3.627536881989357e-10
45.25 11.25 3.16180220893969e-10
45.25 11.35 3.659710590131482e-10
45.25 11.45 3.162764494746284e-10
45.25 11.55 4.043192725067257e-10
45.25 11.65 5.283544712852972e-10
45.25 11.75 6.327152690666082e-10
45.25 11.85 5.259939150903392e-10
45.25 11.95 3.9290623532473035e-10
45.25 12.05 6.169010857703938e-10
45.25 12.15 2.3888313549491613e-10
45.35 8.55 2.8391905493307945e-10
45.35 8.65 2.9652219568632177e-10
45.35 8.75 2.558757095094677e-10
45.35 8.85 4.753654692102316e-10
45.35 8.95 3.132884229817279e-10
45.35 9.05 5.458803964408787e-10
45.35 9.15 6.242339978257405e-10
45.35 9.25 4.832674815880011e-10
45.35 9.35 9.061915662300635e-10
45.35 9.45 5.961419136113477e-10
45.35 9.55 5.480845777228183e-10
45.35 9.65 6.383785722263724e-10
45.35 9.75 5.726195628774633e-10
45.35 9.85 2.3361598766591385e-10
45.35 9.95 3.366919520964018e-10
45.35 10.05 4.096274430764879e-10
45.35 10.15 5.847451967078143e-10
45.35 10.25 3.8666800317166405e-10
45.35 10.35 4.577613843537165e-10
45.35 10.45 5.734762109632641e-10
45.35 10.55 5.472525210770129e-10
45.35 10.65 4.3377834657576386e-10
45.35 10.75 3.769208278825431e-10
45.35 10.85 4.2958897550349207e-10
45.35 10.95 8.46306968949051e-10
45.35 11.05 5.918612822064517e-10
45.35 11.15 2.686417199804225e-10
45.35 11.25 4.867233283079031e-10
45.35 11.35 4.727343516641724e-10
45.35 11.45 3.1395697153158153e-10
45.35 11.55 3.353742006328986e-10
45.35 11.65 3.7351788328976454e-10
45.35 11.75 9.199376260760062e-10
45.35 11.85 1.1800185273358466e-09
45.35 11.95 9.718164051264466e-10
45.35 12.05 1.192407839134546e-09
45.35 12.15 1.4403614412294985e-10
45.45 8.45 4.136030129497925e-10
45.45 8.55 3.3843847169201524e-10
45.45 8.65 5.797746727154163e-10
45.45 8.75 6.329552992845322e-10
45.45 8.85 7.546798741486782e-10
